Time (s),Temperature (C)
0.00,22.25
1.00,22.16
2.00,22.16
3.00,22.08
4.00,22.08
5.01,23.38
6.01,27.44
7.01,29.25
8.01,30.17
9.01,30.82
10.01,31.19
11.01,31.56
12.01,31.85
13.02,32.03
14.02,32.03
15.02,30.72
16.02,29.71
17.02,28.89
18.02,28.16
19.02,27.44
20.02,26.82
21.02,26.37
22.03,25.93
23.03,25.57
24.03,26.55
25.03,27.80
26.03,29.34
27.03,30.35
28.03,31.19
29.03,31.47
30.03,31.85
31.04,31.75
32.04,31.75
33.04,31.75
34.04,31.94
35.04,32.03
36.04,31.94
37.04,31.94
38.04,30.63
39.05,29.80
